"","fechaPred","varHist","varHistPonde"
"473","18-Apr-17",1.30779570987788,1.24440670178588
"474","19-Apr-17",1.30779570987788,1.1308378028279
"475","20-Apr-17",1.30779570987788,1.1308378028279
"476","21-Apr-17",1.30779570987788,1.10689198091242
"477","24-Apr-17",1.30779570987788,1.05616439536092
"480","25-Apr-17",1.30779570987788,1.05616439536092
"481","26-Apr-17",1.30779570987788,1.05616439536092
"482","27-Apr-17",1.30779570987788,1.05616439536092
"483","28-Apr-17",1.30779570987788,1.04539952173407
"484","2-May-17",1.30779570987788,1.04539952173407
"488","3-May-17",1.30779570987788,1.04539952173407
"489","4-May-17",1.30779570987788,1.04539952173407
"490","5-May-17",1.30779570987788,1.04539952173407
"491","8-May-17",1.30779570987788,1.04539952173407
"494","9-May-17",1.30779570987788,0.990718094616775
"495","10-May-17",1.30779570987788,0.990718094616775
"496","11-May-17",1.30779570987788,0.990718094616775
"497","12-May-17",1.30779570987788,0.990718094616775
"498","15-May-17",1.30779570987788,0.990718094616775
"501","16-May-17",1.30779570987788,0.990718094616775
"502","17-May-17",1.30779570987788,0.990718094616775
"503","18-May-17",1.31256473721936,1.3837000482832
"504","19-May-17",1.31256473721936,1.3837000482832
"505","22-May-17",1.31256473721936,1.3837000482832
"508","23-May-17",1.31256473721936,1.3837000482832
"509","24-May-17",1.31256473721936,1.24440670178588
"510","25-May-17",1.31256473721936,1.1308378028279
"511","26-May-17",1.31256473721936,1.05616439536092
"512","29-May-17",1.31256473721936,1.05616439536092
"515","30-May-17",1.31256473721936,1.04539952173407
"516","31-May-17",1.31256473721936,1.04539952173407
"517","1-Jun-17",1.31256473721936,1.04539952173407
"518","2-Jun-17",1.31256473721936,0.998331978256844
"519","5-Jun-17",1.31256473721936,0.998331978256844
"522","6-Jun-17",1.31256473721936,0.998331978256844
"523","7-Jun-17",1.31256473721936,0.998331978256844
"524","8-Jun-17",1.31256473721936,0.998331978256844
"525","9-Jun-17",1.31256473721936,0.998331978256844
"526","12-Jun-17",1.31249331042091,0.998331978256844
"529","13-Jun-17",1.31249331042091,0.998331978256844
"530","14-Jun-17",1.31249331042091,0.998331978256844
"531","15-Jun-17",1.31249331042091,0.998331978256844
"532","16-Jun-17",1.31249331042091,0.998331978256844
"533","19-Jun-17",1.31249331042091,0.998331978256844
"536","20-Jun-17",1.31249331042091,0.998331978256844
"537","21-Jun-17",1.31249331042091,0.998331978256844
"538","22-Jun-17",1.31249331042091,0.998331978256844
"539","23-Jun-17",1.31249331042091,0.990718094616775
"540","26-Jun-17",1.31249331042091,0.990718094616775
"543","27-Jun-17",1.27290545737876,0.990718094616775
"544","28-Jun-17",1.23125371822374,0.990718094616775
"545","29-Jun-17",1.23125371822374,0.990718094616775
"546","30-Jun-17",1.23125371822374,0.990718094616775
"547","3-Jul-17",1.23125371822374,0.974649055777473
"550","4-Jul-17",1.23125371822374,0.974649055777473
"551","5-Jul-17",1.23125371822374,0.961792633688037
"552","6-Jul-17",1.23125371822374,0.884526464906201
"553","7-Jul-17",1.23125371822374,0.877123510965241
"554","10-Jul-17",1.23125371822374,0.877123510965241
"557","11-Jul-17",1.23125371822374,0.877123510965241
"558","12-Jul-17",1.23125371822374,0.877123510965241
"559","13-Jul-17",1.23125371822374,0.877123510965241
"560","14-Jul-17",1.23125371822374,0.877123510965241
"561","17-Jul-17",1.23125371822374,0.804359246683322
"564","18-Jul-17",1.23125371822374,0.804359246683322
"565","19-Jul-17",1.23125371822374,0.804359246683322
"566","20-Jul-17",1.23125371822374,0.804359246683322
"567","21-Jul-17",1.23125371822374,0.804359246683322
"568","24-Jul-17",1.23125371822374,0.756740379003503
"571","25-Jul-17",1.23125371822374,0.756740379003503
"572","26-Jul-17",1.23125371822374,0.756740379003503
"573","27-Jul-17",1.23125371822374,0.756740379003503
"574","28-Jul-17",1.23125371822374,0.756740379003503
"575","31-Jul-17",1.23125371822374,0.756740379003503
"578","1-Aug-17",1.23125371822374,0.756740379003503
"579","2-Aug-17",1.23125371822374,0.666749377079127
"580","3-Aug-17",1.23125371822374,0.666749377079127
"581","4-Aug-17",1.23125371822374,0.666749377079127
"582","7-Aug-17",1.23125371822374,0.666749377079127
"585","8-Aug-17",1.23125371822374,0.666749377079127
"586","9-Aug-17",1.23125371822374,0.666749377079127
"587","10-Aug-17",1.23125371822374,0.666749377079127
"588","11-Aug-17",1.23125371822374,0.666749377079127
"589","14-Aug-17",1.23125371822374,0.666749377079127
"592","15-Aug-17",1.23125371822374,0.666749377079127
"593","16-Aug-17",1.23125371822374,0.666749377079127
"594","17-Aug-17",1.23125371822374,0.666749377079127
"595","18-Aug-17",1.23125371822374,0.666749377079127
"596","21-Aug-17",1.23125371822374,0.666749377079127
"599","22-Aug-17",1.23125371822374,0.666749377079127
"600","23-Aug-17",1.23125371822374,0.660626523427597
"601","24-Aug-17",1.1711822753536,0.647439016282629
"602","25-Aug-17",1.1711822753536,0.647439016282629
"603","28-Aug-17",1.1711822753536,0.647439016282629
"606","29-Aug-17",1.1711822753536,0.647439016282629
"607","30-Aug-17",1.1711822753536,0.647439016282629
"608","31-Aug-17",1.1711822753536,0.647439016282629
"609","1-Sep-17",1.1711822753536,0.647439016282629
"610","4-Sep-17",1.1711822753536,0.647439016282629
"613","5-Sep-17",1.1711822753536,0.647439016282629
"614","6-Sep-17",1.1711822753536,0.756740379003503
"615","7-Sep-17",1.1711822753536,0.756740379003503
"616","8-Sep-17",1.1711822753536,0.696838618124701
"617","11-Sep-17",1.1711822753536,0.666749377079127
"620","12-Sep-17",1.11766760077439,0.666749377079127
"621","13-Sep-17",1.11766760077439,0.666749377079127
"622","14-Sep-17",1.0789918088591,0.666749377079127
"623","15-Sep-17",1.0789918088591,0.666749377079127
"624","18-Sep-17",1.0789918088591,0.666749377079127
"627","19-Sep-17",1.0789918088591,0.666749377079127
"628","20-Sep-17",1.0789918088591,0.647439016282629
"629","21-Sep-17",1.0789918088591,0.647439016282629
"630","22-Sep-17",1.0789918088591,0.647439016282629
"631","25-Sep-17",1.0789918088591,0.647439016282629
"634","26-Sep-17",1.05024371486615,0.647439016282629
"635","27-Sep-17",1.05024371486615,0.647439016282629
"636","28-Sep-17",1.05024371486615,0.647439016282629
"637","29-Sep-17",1.05024371486615,0.647439016282629
"638","2-Oct-17",1.05024371486615,0.628105521611031
"641","3-Oct-17",1.05024371486615,0.628105521611031
"642","4-Oct-17",1.05024371486615,0.628105521611031
"643","5-Oct-17",1.05024371486615,0.628105521611031
"644","6-Oct-17",1.05024371486615,0.628105521611031
"645","9-Oct-17",1.05024371486615,0.628105521611031
